id,nameWithOwner,url,stargazerCount,createdAt,pushedAt,primaryLanguage
MDEwOlJlcG9zaXRvcnk5ODUyOTE4,TryGhost/Ghost,https://github.com/TryGhost/Ghost,51974,2013-05-04T11:09:13Z,2026-03-06T19:13:49Z,{'name': 'JavaScript'}
MDEwOlJlcG9zaXRvcnkyMTA3MDI0Mjc=,typst/typst,https://github.com/typst/typst,51834,2019-09-24T21:41:56Z,2026-03-05T16:46:50Z,{'name': 'Rust'}
MDEwOlJlcG9zaXRvcnkxODY3MzMwOTU=,2dust/v2rayNG,https://github.com/2dust/v2rayNG,51761,2019-05-15T02:15:31Z,2026-03-03T08:19:48Z,{'name': 'Kotlin'}
MDEwOlJlcG9zaXRvcnk0OTYwOTU4MQ==,PowerShell/PowerShell,https://github.com/PowerShell/PowerShell,51750,2016-01-13T23:41:35Z,2026-03-06T07:33:05Z,{'name': 'C#'}
MDEwOlJlcG9zaXRvcnk3NTEwNDEyMw==,prettier/prettier,https://github.com/prettier/prettier,51736,2016-11-29T17:13:37Z,2026-03-06T18:51:32Z,{'name': 'JavaScript'}
MDEwOlJlcG9zaXRvcnkxMTIyNTAxNA==,etcd-io/etcd,https://github.com/etcd-io/etcd,51619,2013-07-06T21:57:21Z,2026-03-06T20:11:02Z,{'name': 'Go'}
MDEwOlJlcG9zaXRvcnk0NDgwNDIxNg==,termux/termux-app,https://github.com/termux/termux-app,51561,2015-10-23T09:42:46Z,2026-02-26T19:43:08Z,{'name': 'Java'}
R_kgDOLhdsRA,xai-org/grok-1,https://github.com/xai-org/grok-1,51530,2024-03-17T08:53:38Z,2024-08-30T04:17:25Z,{'name': 'Python'}
MDEwOlJlcG9zaXRvcnkyMDMwMDE3Nw==,google/guava,https://github.com/google/guava,51484,2014-05-29T16:23:17Z,2026-03-06T20:41:59Z,{'name': 'Java'}
MDEwOlJlcG9zaXRvcnkyMTcwMDY5OQ==,vsouza/awesome-ios,https://github.com/vsouza/awesome-ios,51467,2014-07-10T16:03:45Z,2025-09-29T17:35:43Z,{'name': 'Swift'}
MDEwOlJlcG9zaXRvcnk2NTI1Mg==,jekyll/jekyll,https://github.com/jekyll/jekyll,51428,2008-10-20T06:29:03Z,2026-02-27T21:23:27Z,{'name': 'Ruby'}
MDEwOlJlcG9zaXRvcnkzMzI4ODA2ODk=,coollabsio/coolify,https://github.com/coollabsio/coolify,51427,2021-01-25T20:54:01Z,2026-03-05T15:32:09Z,{'name': 'PHP'}
MDEwOlJlcG9zaXRvcnk5MzA5MDkz,Semantic-Org/Semantic-UI,https://github.com/Semantic-Org/Semantic-UI,51138,2013-04-08T23:32:04Z,2024-11-27T21:01:48Z,{'name': 'JavaScript'}
MDEwOlJlcG9zaXRvcnk2NzE4Njk2OA==,chinese-poetry/chinese-poetry,https://github.com/chinese-poetry/chinese-poetry,51032,2016-09-02T03:32:25Z,2025-04-02T09:42:19Z,{'name': 'JavaScript'}
MDEwOlJlcG9zaXRvcnk2MDkzMzE2,DefinitelyTyped/DefinitelyTyped,https://github.com/DefinitelyTyped/DefinitelyTyped,51014,2012-10-05T16:39:45Z,2026-03-06T15:59:37Z,{'name': 'TypeScript'}
MDEwOlJlcG9zaXRvcnkxNjIyNzk4MjI=,agalwood/Motrix,https://github.com/agalwood/Motrix,50990,2018-12-18T11:45:05Z,2024-07-11T12:09:20Z,{'name': 'JavaScript'}
MDEwOlJlcG9zaXRvcnkxNTQ1MjkxOQ==,ethereum/go-ethereum,https://github.com/ethereum/go-ethereum,50895,2013-12-26T13:05:46Z,2026-03-06T20:50:30Z,{'name': 'Go'}
MDEwOlJlcG9zaXRvcnk2ODk1NzkyMA==,justjavac/awesome-wechat-weapp,https://github.com/justjavac/awesome-wechat-weapp,50580,2016-09-22T20:04:48Z,2025-11-19T06:06:13Z,
MDEwOlJlcG9zaXRvcnk0NTcyMzM3Nw==,charlax/professional-programming,https://github.com/charlax/professional-programming,50527,2015-11-07T05:07:52Z,2026-03-04T21:57:40Z,{'name': 'Python'}
MDEwOlJlcG9zaXRvcnk4NTAzMTQ0Mg==,poteto/hiring-without-whiteboards,https://github.com/poteto/hiring-without-whiteboards,50471,2017-03-15T05:09:01Z,2026-02-27T02:58:49Z,{'name': 'JavaScript'}
R_kgDOJQ_29Q,FlowiseAI/Flowise,https://github.com/FlowiseAI/Flowise,50448,2023-03-31T12:23:09Z,2026-03-06T19:59:30Z,{'name': 'TypeScript'}
R_kgDOLEttLA,dockur/windows,https://github.com/dockur/windows,50246,2024-01-14T13:09:40Z,2026-03-05T21:49:18Z,{'name': 'Shell'}
MDEwOlJlcG9zaXRvcnk1MDI2NDI5Ng==,jgthms/bulma,https://github.com/jgthms/bulma,50058,2016-01-23T23:48:34Z,2026-03-01T20:13:02Z,{'name': 'CSS'}
R_kgDOLeediw,harry0703/MoneyPrinterTurbo,https://github.com/harry0703/MoneyPrinterTurbo,50026,2024-03-11T02:57:34Z,2025-12-14T04:02:56Z,{'name': 'Python'}
MDEwOlJlcG9zaXRvcnkxODczMzU4MTA=,jesseduffield/lazydocker,https://github.com/jesseduffield/lazydocker,50000,2019-05-18T08:53:50Z,2026-01-17T06:16:20Z,{'name': 'Go'}
MDEwOlJlcG9zaXRvcnkxMzk4MjQ0MjM=,Avik-Jain/100-Days-Of-ML-Code,https://github.com/Avik-Jain/100-Days-Of-ML-Code,49768,2018-07-05T09:11:43Z,2023-12-29T07:57:53Z,
MDEwOlJlcG9zaXRvcnk1MjI4MTI4Mw==,mastodon/mastodon,https://github.com/mastodon/mastodon,49712,2016-02-22T15:01:25Z,2026-03-06T14:26:58Z,{'name': 'Ruby'}
MDEwOlJlcG9zaXRvcnkzMTYyOTc1MQ==,cypress-io/cypress,https://github.com/cypress-io/cypress,49598,2015-03-04T00:46:28Z,2026-03-06T20:45:33Z,{'name': 'TypeScript'}
MDEwOlJlcG9zaXRvcnk0NjYyOTMwNQ==,NARKOZ/hacker-scripts,https://github.com/NARKOZ/hacker-scripts,49433,2015-11-21T19:05:09Z,2023-10-23T21:01:40Z,{'name': 'JavaScript'}
MDEwOlJlcG9zaXRvcnkxOTc0NTAwNA==,odoo/odoo,https://github.com/odoo/odoo,49338,2014-05-13T15:38:58Z,2026-03-06T20:43:48Z,{'name': 'Python'}
MDEwOlJlcG9zaXRvcnkyMDIzNjc2MTU=,lyswhut/lx-music-desktop,https://github.com/lyswhut/lx-music-desktop,49167,2019-08-14T14:31:08Z,2026-02-16T13:33:15Z,{'name': 'TypeScript'}
MDEwOlJlcG9zaXRvcnkyOTg4NzQ5OQ==,dkhamsing/open-source-ios-apps,https://github.com/dkhamsing/open-source-ios-apps,49122,2015-01-26T23:32:34Z,2026-03-06T18:18:59Z,
MDEwOlJlcG9zaXRvcnkzMjM5NjU2NTk=,AlistGo/alist,https://github.com/AlistGo/alist,49118,2020-12-23T17:40:29Z,2026-03-06T14:03:14Z,{'name': 'Go'}
MDEwOlJlcG9zaXRvcnkxNjEwMTIwMTk=,jellyfin/jellyfin,https://github.com/jellyfin/jellyfin,49101,2018-12-09T06:36:45Z,2026-03-05T23:57:28Z,{'name': 'C#'}
MDEwOlJlcG9zaXRvcnkxMTE3MTU0OA==,nlohmann/json,https://github.com/nlohmann/json,49040,2013-07-04T08:47:49Z,2026-03-06T15:44:59Z,{'name': 'C++'}
MDEwOlJlcG9zaXRvcnk0NDY2MjY2OQ==,dbeaver/dbeaver,https://github.com/dbeaver/dbeaver,48969,2015-10-21T08:26:28Z,2026-03-06T15:13:32Z,{'name': 'Java'}
R_kgDOJxtHSw,mem0ai/mem0,https://github.com/mem0ai/mem0,48917,2023-06-20T08:58:36Z,2026-03-03T22:26:11Z,{'name': 'Python'}
MDEwOlJlcG9zaXRvcnk4NjgxMzQ5,huginn/huginn,https://github.com/huginn/huginn,48820,2013-03-10T06:00:31Z,2026-02-24T10:48:03Z,{'name': 'Ruby'}
MDEwOlJlcG9zaXRvcnkyMDc2NDUwODM=,TanStack/query,https://github.com/TanStack/query,48717,2019-09-10T19:23:58Z,2026-03-05T19:02:22Z,{'name': 'TypeScript'}
R_kgDOHP4oZA,ChrisTitusTech/winutil,https://github.com/ChrisTitusTech/winutil,48637,2022-04-28T02:25:19Z,2026-03-06T14:29:20Z,{'name': 'PowerShell'}
MDEwOlJlcG9zaXRvcnkxMjg5MDc2OTk=,iamkun/dayjs,https://github.com/iamkun/dayjs,48581,2018-04-10T09:26:44Z,2026-03-03T11:02:10Z,{'name': 'JavaScript'}
MDEwOlJlcG9zaXRvcnkxNjQ0MTk2,JuliaLang/julia,https://github.com/JuliaLang/julia,48540,2011-04-21T07:01:50Z,2026-03-06T19:59:43Z,{'name': 'Julia'}
MDEwOlJlcG9zaXRvcnk3NTA4NDEx,ReactiveX/RxJava,https://github.com/ReactiveX/RxJava,48490,2013-01-08T20:11:48Z,2026-03-06T04:52:28Z,{'name': 'Java'}
MDEwOlJlcG9zaXRvcnk1ODgzNjUzNA==,algorithm-visualizer/algorithm-visualizer,https://github.com/algorithm-visualizer/algorithm-visualizer,48370,2016-05-15T00:27:45Z,2024-06-09T06:54:22Z,{'name': 'JavaScript'}
R_kgDOOhDnFA,sansan0/TrendRadar,https://github.com/sansan0/TrendRadar,48120,2025-04-28T11:42:16Z,2026-03-01T03:21:07Z,{'name': 'Python'}
MDEwOlJlcG9zaXRvcnk4NTgxMjc=,pandas-dev/pandas,https://github.com/pandas-dev/pandas,48072,2010-08-24T01:37:33Z,2026-03-06T17:28:42Z,{'name': 'Python'}
MDEwOlJlcG9zaXRvcnkxNDI0NDcw,moment/moment,https://github.com/moment/moment,48055,2011-03-01T02:46:06Z,2024-08-14T17:12:19Z,{'name': 'JavaScript'}
R_kgDOOPWeNQ,upstash/context7,https://github.com/upstash/context7,47951,2025-03-26T23:40:39Z,2026-03-06T14:58:21Z,{'name': 'TypeScript'}
MDEwOlJlcG9zaXRvcnkxNzcyODE2NA==,hashicorp/terraform,https://github.com/hashicorp/terraform,47891,2014-03-13T22:25:48Z,2026-03-06T20:19:00Z,{'name': 'Go'}
MDEwOlJlcG9zaXRvcnkzMzc5MTc0Mw==,x64dbg/x64dbg,https://github.com/x64dbg/x64dbg,47835,2015-04-11T20:48:23Z,2026-02-25T01:33:02Z,{'name': 'C++'}
R_kgDOKFVBpg,lllyasviel/Fooocus,https://github.com/lllyasviel/Fooocus,47812,2023-08-09T18:43:40Z,2025-12-01T19:17:07Z,{'name': 'Python'}
MDEwOlJlcG9zaXRvcnkyODE5NzUzMTA=,type-challenges/type-challenges,https://github.com/type-challenges/type-challenges,47779,2020-07-23T14:33:11Z,2026-03-01T06:19:21Z,{'name': 'TypeScript'}
MDEwOlJlcG9zaXRvcnk2NTc1MDI0MQ==,expo/expo,https://github.com/expo/expo,47744,2016-08-15T17:14:25Z,2026-03-06T20:50:32Z,{'name': 'TypeScript'}
MDEwOlJlcG9zaXRvcnkxMDkzNDMwOTg=,serhii-londar/open-source-mac-os-apps,https://github.com/serhii-londar/open-source-mac-os-apps,47715,2017-11-03T02:35:33Z,2026-02-23T00:00:38Z,
MDEwOlJlcG9zaXRvcnk2MjgxMjI2MQ==,kelseyhightower/kubernetes-the-hard-way,https://github.com/kelseyhightower/kubernetes-the-hard-way,47656,2016-07-07T14:15:27Z,2025-04-10T06:11:47Z,
MDEwOlJlcG9zaXRvcnk4MjIyNzU4NQ==,kamranahmedse/design-patterns-for-humans,https://github.com/kamranahmedse/design-patterns-for-humans,47607,2017-02-16T21:24:39Z,2024-12-02T04:54:48Z,
MDEwOlJlcG9zaXRvcnk0MDQxNjIzNg==,minimaxir/big-list-of-naughty-strings,https://github.com/minimaxir/big-list-of-naughty-strings,47605,2015-08-08T20:57:20Z,2024-04-18T03:26:59Z,{'name': 'Python'}
MDEwOlJlcG9zaXRvcnkyNTUzNzg4MTY=,bigskysoftware/htmx,https://github.com/bigskysoftware/htmx,47560,2020-04-13T16:17:51Z,2026-03-04T14:54:33Z,{'name': 'JavaScript'}
MDEwOlJlcG9zaXRvcnkxNjc1MjYyMA==,gogs/gogs,https://github.com/gogs/gogs,47549,2014-02-12T01:57:08Z,2026-03-04T17:52:09Z,{'name': 'Go'}
MDEwOlJlcG9zaXRvcnk4ODU5NDc0,skylot/jadx,https://github.com/skylot/jadx,47534,2013-03-18T17:08:21Z,2026-03-04T20:08:00Z,{'name': 'Java'}
MDEwOlJlcG9zaXRvcnkxMTE3NzkyOA==,karan/Projects,https://github.com/karan/Projects,47451,2013-07-04T13:37:27Z,2024-08-14T19:06:05Z,
R_kgDOIWuq5w,run-llama/llama_index,https://github.com/run-llama/llama_index,47422,2022-11-02T04:24:54Z,2026-03-06T11:44:58Z,{'name': 'Python'}
MDEwOlJlcG9zaXRvcnk5MTYyOTgxNg==,freqtrade/freqtrade,https://github.com/freqtrade/freqtrade,47404,2017-05-17T23:48:53Z,2026-03-06T20:13:22Z,{'name': 'Python'}
R_kgDOIEMdig,ggml-org/whisper.cpp,https://github.com/ggml-org/whisper.cpp,47280,2022-09-25T18:26:37Z,2026-03-05T05:36:42Z,{'name': 'C++'}
MDEwOlJlcG9zaXRvcnkyMTY0ODAwMQ==,akullpp/awesome-java,https://github.com/akullpp/awesome-java,47221,2014-07-09T10:12:43Z,2026-02-07T10:45:56Z,
